Tanggal,Harga_Beras,Inflasi,Prediksi
01/06/2021,11200,0.0133,
02/06/2021,11200,0.0133,
03/06/2021,11200,0.0133,
04/06/2021,11200,0.0133,
05/06/2021,11200,0.0133,
06/06/2021,11200,0.0133,
07/06/2021,11200,0.0133,
08/06/2021,11200,0.0133,
09/06/2021,11200,0.0133,
10/06/2021,11200,0.0133,
11/06/2021,11200,0.0133,
12/06/2021,11200,0.0133,
13/06/2021,11200,0.0133,
14/06/2021,11200,0.0133,
15/06/2021,11200,0.0133,
16/06/2021,11200,0.0133,
17/06/2021,11200,0.0133,
18/06/2021,11200,0.0133,
19/06/2021,11200,0.0133,
20/06/2021,11200,0.0133,
21/06/2021,11200,0.0133,
22/06/2021,11200,0.0133,
23/06/2021,11200,0.0133,
24/06/2021,11200,0.0133,
25/06/2021,11200,0.0133,
26/06/2021,11200,0.0133,
27/06/2021,11200,0.0133,
28/06/2021,11200,0.0133,
29/06/2021,11200,0.0133,
30/06/2021,11200,0.0133,
01/07/2021,11200,0.0152,
02/07/2021,11200,0.0152,
03/07/2021,11200,0.0152,
04/07/2021,11200,0.0152,
05/07/2021,11200,0.0152,
06/07/2021,11200,0.0152,
07/07/2021,11200,0.0152,
08/07/2021,11200,0.0152,
09/07/2021,11200,0.0152,
10/07/2021,11200,0.0152,
11/07/2021,11200,0.0152,
12/07/2021,11200,0.0152,
13/07/2021,11200,0.0152,
14/07/2021,11200,0.0152,
15/07/2021,11200,0.0152,
16/07/2021,11200,0.0152,
17/07/2021,11200,0.0152,
18/07/2021,11200,0.0152,
19/07/2021,11200,0.0152,
20/07/2021,11200,0.0152,
21/07/2021,11200,0.0152,
22/07/2021,11200,0.0152,
23/07/2021,11200,0.0152,
24/07/2021,11200,0.0152,
25/07/2021,11200,0.0152,
26/07/2021,11150,0.0152,
27/07/2021,11150,0.0152,
28/07/2021,11150,0.0152,
29/07/2021,11150,0.0152,
30/07/2021,11150,0.0152,
31/07/2021,11150,0.0152,
01/08/2021,11150,0.0159,
02/08/2021,11150,0.0159,
03/08/2021,11150,0.0159,
04/08/2021,11150,0.0159,
05/08/2021,11150,0.0159,
06/08/2021,11150,0.0159,
07/08/2021,11150,0.0159,
08/08/2021,11150,0.0159,
09/08/2021,11150,0.0159,
10/08/2021,11150,0.0159,
11/08/2021,11150,0.0159,
12/08/2021,11150,0.0159,
13/08/2021,11150,0.0159,
14/08/2021,11150,0.0159,
15/08/2021,11150,0.0159,
16/08/2021,11150,0.0159,
17/08/2021,11150,0.0159,
18/08/2021,11150,0.0159,
19/08/2021,11150,0.0159,
20/08/2021,11150,0.0159,
21/08/2021,11150,0.0159,
22/08/2021,11150,0.0159,
23/08/2021,11150,0.0159,
24/08/2021,11150,0.0159,
25/08/2021,11150,0.0159,
26/08/2021,11150,0.0159,
27/08/2021,11150,0.0159,
28/08/2021,11150,0.0159,
29/08/2021,11150,0.0159,
30/08/2021,11150,0.0159,
31/08/2021,11150,0.0159,
01/09/2021,11150,0.016,
02/09/2021,11150,0.016,
03/09/2021,11150,0.016,
04/09/2021,11150,0.016,
05/09/2021,11150,0.016,
06/09/2021,11150,0.016,
07/09/2021,11150,0.016,
08/09/2021,11150,0.016,
09/09/2021,11150,0.016,
10/09/2021,11150,0.016,
11/09/2021,11150,0.016,
12/09/2021,11150,0.016,
13/09/2021,11150,0.016,
14/09/2021,11150,0.016,
15/09/2021,11150,0.016,
16/09/2021,11150,0.016,
17/09/2021,11150,0.016,
18/09/2021,11150,0.016,
19/09/2021,11150,0.016,
20/09/2021,11150,0.016,
21/09/2021,11150,0.016,
22/09/2021,11150,0.016,
23/09/2021,11150,0.016,
24/09/2021,11150,0.016,
25/09/2021,11150,0.016,
26/09/2021,11150,0.016,
27/09/2021,11150,0.016,
28/09/2021,11150,0.016,
29/09/2021,11150,0.016,
30/09/2021,11150,0.016,
01/10/2021,11150,0.0166,
02/10/2021,11150,0.0166,
03/10/2021,11150,0.0166,
04/10/2021,11150,0.0166,
05/10/2021,11150,0.0166,
06/10/2021,11150,0.0166,
07/10/2021,11150,0.0166,
08/10/2021,11150,0.0166,
09/10/2021,11150,0.0166,
10/10/2021,11150,0.0166,
11/10/2021,11150,0.0166,
12/10/2021,11150,0.0166,
13/10/2021,11150,0.0166,
14/10/2021,11150,0.0166,
15/10/2021,11150,0.0166,
16/10/2021,11150,0.0166,
17/10/2021,11150,0.0166,
18/10/2021,11150,0.0166,
19/10/2021,11150,0.0166,
20/10/2021,11150,0.0166,
21/10/2021,11150,0.0166,
22/10/2021,11150,0.0166,
23/10/2021,11150,0.0166,
24/10/2021,11150,0.0166,
25/10/2021,11150,0.0166,
26/10/2021,11150,0.0166,
27/10/2021,11150,0.0166,
28/10/2021,11150,0.0166,
29/10/2021,11150,0.0166,
30/10/2021,11150,0.0166,
31/10/2021,11150,0.0166,
01/11/2021,11150,0.0175,
02/11/2021,11150,0.0175,
03/11/2021,11150,0.0175,
04/11/2021,11150,0.0175,
05/11/2021,11150,0.0175,
06/11/2021,11150,0.0175,
07/11/2021,11150,0.0175,
08/11/2021,11150,0.0175,
09/11/2021,11150,0.0175,
10/11/2021,11150,0.0175,
11/11/2021,11150,0.0175,
12/11/2021,11150,0.0175,
13/11/2021,11150,0.0175,
14/11/2021,11150,0.0175,
15/11/2021,11150,0.0175,
16/11/2021,11150,0.0175,
17/11/2021,11150,0.0175,
18/11/2021,11150,0.0175,
19/11/2021,11150,0.0175,
20/11/2021,11150,0.0175,
21/11/2021,11150,0.0175,
22/11/2021,11150,0.0175,
23/11/2021,11150,0.0175,
24/11/2021,11150,0.0175,
25/11/2021,11150,0.0175,
26/11/2021,11150,0.0175,
27/11/2021,11150,0.0175,
28/11/2021,11150,0.0175,
29/11/2021,11150,0.0175,
30/11/2021,11200,0.0175,
01/12/2021,11150,0.0187,
02/12/2021,11150,0.0187,
03/12/2021,11150,0.0187,
04/12/2021,11150,0.0187,
05/12/2021,11150,0.0187,
06/12/2021,11150,0.0187,
07/12/2021,11200,0.0187,
08/12/2021,11200,0.0187,
09/12/2021,11200,0.0187,
10/12/2021,11200,0.0187,
11/12/2021,11200,0.0187,
12/12/2021,11200,0.0187,
13/12/2021,11200,0.0187,
14/12/2021,11200,0.0187,
15/12/2021,11200,0.0187,
16/12/2021,11250,0.0187,
17/12/2021,11250,0.0187,
18/12/2021,11250,0.0187,
19/12/2021,11250,0.0187,
20/12/2021,11250,0.0187,
21/12/2021,11250,0.0187,
22/12/2021,11250,0.0187,
23/12/2021,11250,0.0187,
24/12/2021,11250,0.0187,
25/12/2021,11750,0.0187,
26/12/2021,11750,0.0187,
27/12/2021,11750,0.0187,
28/12/2021,11250,0.0187,
29/12/2021,11300,0.0187,
30/12/2021,11250,0.0187,
31/12/2021,11250,0.0187,
01/01/2022,11250,0.0218,
02/01/2022,11250,0.0218,
03/01/2022,11250,0.0218,
04/01/2022,11300,0.0218,
05/01/2022,11300,0.0218,
06/01/2022,11300,0.0218,
07/01/2022,11300,0.0218,
08/01/2022,11300,0.0218,
09/01/2022,11300,0.0218,
10/01/2022,11300,0.0218,
11/01/2022,11300,0.0218,
12/01/2022,11300,0.0218,
13/01/2022,11300,0.0218,
14/01/2022,11300,0.0218,
15/01/2022,11300,0.0218,
16/01/2022,11350,0.0218,
17/01/2022,11350,0.0218,
18/01/2022,11350,0.0218,
19/01/2022,11350,0.0218,
20/01/2022,11350,0.0218,
21/01/2022,11350,0.0218,
22/01/2022,11350,0.0218,
23/01/2022,11350,0.0218,
24/01/2022,11350,0.0218,
25/01/2022,11350,0.0218,
26/01/2022,11350,0.0218,
27/01/2022,11850,0.0218,
28/01/2022,11350,0.0218,
29/01/2022,11350,0.0218,
30/01/2022,11350,0.0218,
31/01/2022,11350,0.0218,
01/02/2022,11350,0.0206,
02/02/2022,11350,0.0206,
03/02/2022,11350,0.0206,
04/02/2022,11350,0.0206,
05/02/2022,11350,0.0206,
06/02/2022,11350,0.0206,
07/02/2022,11350,0.0206,
08/02/2022,11350,0.0206,
09/02/2022,11350,0.0206,
10/02/2022,11350,0.0206,
11/02/2022,11350,0.0206,
12/02/2022,11350,0.0206,
13/02/2022,11350,0.0206,
14/02/2022,11350,0.0206,
15/02/2022,11350,0.0206,
16/02/2022,11350,0.0206,
17/02/2022,11350,0.0206,
18/02/2022,11350,0.0206,
19/02/2022,11350,0.0206,
20/02/2022,11350,0.0206,
21/02/2022,11350,0.0206,
22/02/2022,11350,0.0206,
23/02/2022,11350,0.0206,
24/02/2022,11350,0.0206,
25/02/2022,11350,0.0206,
26/02/2022,11350,0.0206,
27/02/2022,11350,0.0206,
28/02/2022,11350,0.0206,
01/03/2022,11350,0.0264,
02/03/2022,11350,0.0264,
03/03/2022,11350,0.0264,
04/03/2022,11350,0.0264,
05/03/2022,11350,0.0264,
06/03/2022,11350,0.0264,
07/03/2022,11350,0.0264,
08/03/2022,11350,0.0264,
09/03/2022,11350,0.0264,
10/03/2022,11350,0.0264,
11/03/2022,11350,0.0264,
12/03/2022,11350,0.0264,
13/03/2022,11350,0.0264,
14/03/2022,11350,0.0264,
15/03/2022,11350,0.0264,
16/03/2022,11350,0.0264,
17/03/2022,11350,0.0264,
18/03/2022,11350,0.0264,
19/03/2022,11350,0.0264,
20/03/2022,11350,0.0264,
21/03/2022,11350,0.0264,
22/03/2022,11350,0.0264,
23/03/2022,11350,0.0264,
24/03/2022,11350,0.0264,
25/03/2022,11350,0.0264,
26/03/2022,11350,0.0264,
27/03/2022,11350,0.0264,
28/03/2022,11350,0.0264,
29/03/2022,11350,0.0264,
30/03/2022,11350,0.0264,
31/03/2022,11350,0.0264,
01/04/2022,11350,0.0347,
02/04/2022,11350,0.0347,
03/04/2022,11350,0.0347,
04/04/2022,11350,0.0347,
05/04/2022,11350,0.0347,
06/04/2022,11350,0.0347,
07/04/2022,11350,0.0347,
08/04/2022,11350,0.0347,
09/04/2022,11350,0.0347,
10/04/2022,11350,0.0347,
11/04/2022,11350,0.0347,
12/04/2022,11350,0.0347,
13/04/2022,11350,0.0347,
14/04/2022,11350,0.0347,
15/04/2022,11350,0.0347,
16/04/2022,11350,0.0347,
17/04/2022,11350,0.0347,
18/04/2022,11350,0.0347,
19/04/2022,11350,0.0347,
20/04/2022,11350,0.0347,
21/04/2022,11350,0.0347,
22/04/2022,11350,0.0347,
23/04/2022,11350,0.0347,
24/04/2022,11350,0.0347,
25/04/2022,11350,0.0347,
26/04/2022,11350,0.0347,
27/04/2022,11350,0.0347,
28/04/2022,11350,0.0347,
29/04/2022,11350,0.0347,
30/04/2022,11350,0.0347,
01/05/2022,11350,0.0355,
02/05/2022,11350,0.0355,
03/05/2022,11350,0.0355,
04/05/2022,11350,0.0355,
05/05/2022,11350,0.0355,
06/05/2022,11350,0.0355,
07/05/2022,11350,0.0355,
08/05/2022,11350,0.0355,
09/05/2022,11350,0.0355,
10/05/2022,11350,0.0355,
11/05/2022,11350,0.0355,
12/05/2022,11350,0.0355,
13/05/2022,11350,0.0355,
14/05/2022,11350,0.0355,
15/05/2022,11350,0.0355,
16/05/2022,11350,0.0355,
17/05/2022,11350,0.0355,
18/05/2022,11350,0.0355,
19/05/2022,11350,0.0355,
20/05/2022,11350,0.0355,
21/05/2022,11350,0.0355,
22/05/2022,11350,0.0355,
23/05/2022,11350,0.0355,
24/05/2022,11350,0.0355,
25/05/2022,11350,0.0355,
26/05/2022,11350,0.0355,
27/05/2022,11350,0.0355,
28/05/2022,11350,0.0355,
29/05/2022,11350,0.0355,
30/05/2022,11350,0.0355,
31/05/2022,11350,0.0355,
01/06/2022,11350,0.0435,
